state,xc,jitter_localfit
conf_picard_coarse,0.92,0.00084
conf_picard_coarse,0.96,0.00227
conf_picard_coarse,0.98,0.00825
conf_picard_coarse,0.99,0.02090
conf_picard_coarse,0.995,0.02789
conf_picard_coarse,1.0,0.03493
conf_picard_medium,0.92,0.00120
conf_picard_medium,0.96,0.00124
conf_picard_medium,0.98,0.00283
conf_picard_medium,0.99,0.00583
conf_picard_medium,0.995,0.01082
conf_picard_medium,1.0,0.01710
conf_newton_medium,0.92,0.00120
conf_newton_medium,0.96,0.00124
conf_newton_medium,0.98,0.00271
conf_newton_medium,0.99,0.00548
conf_newton_medium,0.995,0.01010
conf_newton_medium,1.0,0.01596
