section,leg,tag,m,estimator,taper,converged,accept_reason,res,n_newton,n_limited,n_floored,cl_p,gamma_mean,gamma_tip,tip_box_mmax,wall_s,station,z,taper_f,gamma
leg,,P,0.5,pressure,False,True,tol,1.1022720415457612e-11,4,0,0,0.20894036876995858,0.06443716273542595,0.01021429546647262,0.9936905255462148,6.816026983782649,,,,
gamma_tail,P,,,,,,,,,,,,,,,,69,1.1385955850162426,0.9963527246731301,0.03143257140466942
gamma_tail,P,,,,,,,,,,,,,,,,70,1.1529079925662011,0.81524111898923,0.028165579768641882
gamma_tail,P,,,,,,,,,,,,,,,,71,1.16554508668792,0.5212451692454947,0.023848238424702645
gamma_tail,P,,,,,,,,,,,,,,,,72,1.1747516849771609,0.29583275716394086,0.020299762711663786
gamma_tail,P,,,,,,,,,,,,,,,,73,1.1819725277533877,0.1446377081532596,0.0165799847627467
gamma_tail,P,,,,,,,,,,,,,,,,74,1.1891362638766938,0.03959515219673941,0.01021429546647262
leg,,R,0.5,probe,True,True,tol,9.940890179265599e-12,3,0,0,0.2143195231380238,0.06571673349341696,0.00023282013045279194,0.8394315604530478,5.931218232959509,,,,
gamma_tail,R,,,,,,,,,,,,,,,,69,1.1385955850162426,0.9963527246731301,0.02500929981701531
gamma_tail,R,,,,,,,,,,,,,,,,70,1.1529079925662011,0.81524111898923,0.02257816235697187
gamma_tail,R,,,,,,,,,,,,,,,,71,1.16554508668792,0.5212451692454947,0.005854315549911898
gamma_tail,R,,,,,,,,,,,,,,,,72,1.1747516849771609,0.29583275716394086,0.0012333960210145975
gamma_tail,R,,,,,,,,,,,,,,,,73,1.1819725277533877,0.1446377081532596,0.000603028465931648
gamma_tail,R,,,,,,,,,,,,,,,,74,1.1891362638766938,0.03959515219673941,0.00023282013045279194
leg,,Q,0.5,pressure,True,True,tol,1.103415466906666e-11,4,0,0,0.206729939124868,0.06349623566292337,0.00021510197792024398,0.8033166315484342,6.544018046930432,,,,
gamma_tail,Q,,,,,,,,,,,,,,,,69,1.1385955850162426,0.9963527246731301,0.0320090072836738
gamma_tail,Q,,,,,,,,,,,,,,,,70,1.1529079925662011,0.81524111898923,0.01795343346328764
gamma_tail,Q,,,,,,,,,,,,,,,,71,1.16554508668792,0.5212451692454947,0.016491938263514822
gamma_tail,Q,,,,,,,,,,,,,,,,72,1.1747516849771609,0.29583275716394086,0.006787581481787275
gamma_tail,Q,,,,,,,,,,,,,,,,73,1.1819725277533877,0.1446377081532596,0.002044214725860062
gamma_tail,Q,,,,,,,,,,,,,,,,74,1.1891362638766938,0.03959515219673941,0.00021510197792024398
