iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,3.372532e-01,7.253476e-09,3.219161e-01,2.304816e+00,,,,,0.000000e+00,,0.04
1,1.685675e-01,2.352709e-09,1.608024e-01,5.760090e-01,1.000000e-06,0.500000,,,5.572648e+01,,0.88
2,8.407097e-02,4.965077e-10,8.025222e-02,1.436441e-01,3.333333e-07,0.500000,1.0013,1.0016,2.784545e+01,,1.48
3,4.194946e-02,1.048349e-09,3.998810e-02,3.586642e-02,1.111111e-07,0.500000,1.0023,0.9991,1.395411e+01,,1.78
4,3.672601e-02,3.339695e-09,3.499550e-02,2.662047e-02,3.703704e-08,0.125000,0.1914,0.2149,2.728401e+00,,3.06
5,3.654464e-02,3.185381e-09,3.492333e-02,2.651365e-02,1.234568e-08,0.001953,0.0155,0.0135,1.483233e-01,,3.78
6,1.825171e-02,1.702752e-09,1.728099e-02,6.675701e-03,4.115226e-09,0.500000,340.8121,343.0129,5.870701e+00,,4.06
7,1.247971e-02,7.389065e-10,1.619767e-02,5.205482e-03,1.371742e-09,0.500000,0.0920,0.1804,3.302592e+00,,4.30
8,1.169941e-02,6.962022e-10,1.518505e-02,4.578802e-03,4.572474e-10,0.062500,0.9972,0.5157,2.681171e-01,,5.19
9,1.162752e-02,6.916998e-10,1.511785e-02,4.507794e-03,1.524158e-10,0.003906,0.0687,0.1218,8.603428e-02,,5.90
10,1.023882e-02,6.026902e-10,1.344172e-02,4.246145e-03,5.080526e-11,0.125000,26.4935,3.8259,5.463139e-01,cap,7.07
