k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl_p,cl_kj,cd_p
0,,,,0.0,,,,,0.20170888997211153,0.20507225595971443,0.013606027027910314
1,0.003166537456166611,inf,1,0.026411186504079576,100,False,3.3355817491665505e-06,405,0.19949029098696855,0.20326057258650074,0.013918355508150364
2,0.004865145851536924,0.3491382267262787,2,0.053764993174837725,100,False,3.025550606550481e-06,,0.19706988653830856,0.20094903812320875,0.013706120338364297
3,0.005879535812936144,0.17252891957343996,2,0.08102633164668796,100,False,3.1359494116206504e-06,,0.19607144706788976,0.19998285960564638,0.013632829505550548
4,0.005229177158224312,0.24743171972194705,2,0.06291974983759757,100,False,3.2021480283197587e-06,,0.19527806416877483,0.19922946086451593,0.01356661963096636
5,0.006344331476117089,0.17577176131018984,0,0.08531732870771293,100,False,2.9390869433696936e-06,,0.1944649907687664,0.198448547307881,0.013498204185806785
6,0.0048041226113987355,0.33446679236762744,0,0.06088370931169304,100,False,2.53859267506196e-06,,0.1948534418948319,0.19885396178031978,0.013487850481668201
7,0.010308498297327957,0.5643763042803555,0,0.22219064118312531,100,False,3.461777077536562e-06,,0.19136495593726963,0.19541278578318294,0.013305666014155998
8,0.009993175192089998,0.33814269433965,1,0.22385278757156882,100,False,7.347528007535104e-06,,0.19372339756792362,0.19776754089406745,0.0133885916222296
9,0.015346262410064879,0.3488202583101959,4,0.32374661960029233,100,False,8.41265097681904e-06,,0.19342276022269983,0.1975108073927032,0.013307616229838597
10,0.012944431225946509,0.6130715951353389,3,0.3277606352691303,100,False,7.522237331481021e-06,,0.19121057415507547,0.1953274027556941,0.013245997616408283
