quantity,value
upper_has_shock,True
upper_x_shock,0.6041354654643364
upper_n_cells,1
upper_monotone,True
upper_n_supersonic,58
upper_expansion_shock,False
upper_cp_min,-1.1215581771896286
lower_has_shock,True
lower_x_shock,0.3584233932142734
lower_n_cells,1
lower_monotone,True
lower_n_supersonic,22
lower_expansion_shock,False
lower_cp_min,-0.5260245933043941
cp_critical,-0.4346404791552306
cl_pressure,0.3571962779410416
cl_kj,0.3637939352072074
gamma,0.1818969676036037
mach_max,1.3729259326572085
kutta_mismatch,0.00014975861048205363
n_picard_total,10464
n_limited,0
n_floored,0
